category,round,value,clue,answer
4-LETTER WORDS,1,800,"It's really not that unattractive, but it is the name of the hybrid citrus fruit seen here",an ugli
,,,,
4-LETTER WORDS,1,1200,"It's the theatrical technique of suggesting emotions without words, using only gesture & movement",mime
,,,,
4-LETTER WORDS,1,1600,"It's someone who sells hot tips at the racetrack, or a verb meaning ""to praise highly""",a tout
,,,,
4-LETTER WORDS,1,2000,"4-letter name for strong black Indian tea combined with milk, sugar & spices",chai
,,,,
4-SYLLABLE WORDS,1,400,Brazil declared this from Portugal in 1822,independence
,,,,
4-SYLLABLE WORDS,1,800,Fiberglass this in the attic helps regulate your home's temperature,insulation
,,,,
4-SYLLABLE WORDS,1,1200,"A recurring verb for the Daleks on ""Doctor Who""; it's something you do to household pests",exterminate
,,,,
4-SYLLABLE WORDS,1,1600,"Hydrogen, propane & renewables such as biodiesel are labeled this type of fuel in vehicles",alternative
,,,,
4-SYLLABLE WORDS,1,2000,Graph the equation y = x2 & you get this type of curve seen here,a parabola
,,,,
A SHRUBBERY!,2,200,Honk if you know the name of this avian berry that grows on shrubs all over Europe and the United States,a gooseberry
,,,,
A SHRUBBERY!,2,400,"Shrubs are woody plants with non-dominant stems, & a super-dense one can be called this, the surname of 2 presidents",a bush
,,,,
A SHRUBBERY!,2,600,Both Doc Holliday and a certain animated hound are fans of this fruit-bearing shrub,a huckleberry
,,,,
A SHRUBBERY!,2,800,The leaves of a small shrub produce this 5-letter dye that is widely used in temporary tattoos,henna
,,,,
A SHRUBBERY!,2,1000,"Fats Waller put this sweet shrubbery word in front of ""Rose"" in one of his most famous songs",honeysuckle
,,,,
ADVICE FROM THE SIDELINES,2,200,This phrase for someone who gives unsolicited advice sounds like a person who is instructing his chauffeur,a backseat driver
,,,,
ADVICE FROM THE SIDELINES,2,400,"""Armchair"" this military official is a publication using hindsight to replay famous battles",General
,,,,
ADVICE FROM THE SIDELINES,2,600,"Not Monday but this morning ""quarterback"" challenges the decision making in college football games",Sunday morning quarterback
,,,,
ADVICE FROM THE SIDELINES,2,800,"This 6-letter word means to comment as a spectator, such as when watching a card game",kibitz
,,,,
AFTER MATH,2,200,An afternoon entertainment at the theater,a matinée
,,,,
AFTER MATH,2,400,A community's female leader,a matron (matriarch)
,,,,
AFTER MATH,2,600,Ripeness,maturity
,,,,
AFTER MATH,2,800,To enroll in a university,matriculate
,,,,
AFTER MATH,2,1000,A rectangular numeric array in math,a matrix
,,,,
ALL MY TROUBLES,2,200,"I tried soft, I tried rigid gas permeable, my eyes still don't feel right with these",contact lenses
,,,,
ALL MY TROUBLES,2,400,Maybe taking on this burrowing animal & mascot of the University of Wisconsin as a house pet was not my finest idea,the badger
,,,,
ALL MY TROUBLES,2,600,"We overpaid & never got the vacation weeks we wanted--where's that Kiplinger's article ""How to Get Rid of"" this",a time share
,,,,
ALL MY TROUBLES,2,800,"I'm playing this ""Othello"" villain in an hour?! I know Roderigo helps him & he frames Cassio, but I don't know his lines",Iago
,,,,
ALL MY TROUBLES,2,1000,"Ah, man, I got to replace this device that mixes air with fuel to generate combustion in my truck's engine",the carburetor
,,,,
ALTRUISTIC ATHLETES,2,200,Mia Hamm scored 158 international goals in this sport & her charitable foundation is still scoring,soccer
,,,,
ALTRUISTIC ATHLETES,2,400,"(Jimmy of the Clue Crew presents from the Smithsonian Nat'l Museum of African American History & Culture.) The Game Changers Hall bears the name of this Chicago legend who donated $5 million to the museum; as of 2017, he was still ranked by ""Forbes"" as the highest-earning athlete of all time",(Michael) Jordan
,,,,
ALTRUISTIC ATHLETES,2,600,This No. 24 driver is taking the fight to childhood cancer not only in the U.S. but in Rwanda,Jeff Gordon
,,,,
ALTRUISTIC ATHLETES,2,800,All the kids in the first graduating class of this retired tennis great's charter school in Vegas got into college,Andre Agassi
,,,,
ALTRUISTIC ATHLETES,2,1000,Muhammad Ali opened a youth center that teaches confidence & respect in this hometown of his,Louisville
,,,,
ALL THINGS BELGIAN,2,400,"Bred near Malines, the Belgian Malinois is one of these that often works with the military",a dog
,,,,
ALL THINGS BELGIAN,2,800,"Though the name we use contradicts the claim, the Belgians say they invented these, & enjoy smothering them in mayo, not ketchup",French fries
,,,,
ALL THINGS BELGIAN,2,1200,"A major European port, this Belgian city is also the center of the world's diamond industry",Antwerp
,,,,
ALL THINGS BELGIAN,2,1600,This Belgian surrealist often featured bowler hats in his paintings,(René) Magritte
,,,,
ALL THINGS BELGIAN,2,"2,000","Sint-Niklaas, Belgium, has a museum of this Flemish cartographer who, around 1569, devised a way to depict a 3D globe on a 2D map",Mercator
,,,,
BODIES OF WATER,2,400,The Straits of Florida connect this body of water to the Atlantic Ocean,the Gulf of Mexico
,,,,
BODIES OF WATER,2,"5,000","This river flows into Lake Constance, which borders Switzerland, Germany & Austria",the Rhine
,,,,
BODIES OF WATER,2,1200,The Cayman Islands are in this sea,Caribbean Sea
,,,,
BODIES OF WATER,2,1600,"Named for an Englishman, it connects the Atlantic & the Pacific between Cape Horn & the South Shetland Islands",Drake's Passage
,,,,
BODIES OF WATER,2,2000,In French it's known as Le Golfe de Gascogne,the Bay of Biscay
