category,round,value,clue,answer
3-WORD PHRASES,1,3400,"If you do this you're either literally handing a dollar bill to someone, or shifting responsibility",pass the buck
,,,,
4-LETTER WORDS,2,400,The name of this bird is from Maori for the shrill cry of the male bird,kiwi
,,,,
4-LETTER WORDS,2,800,"It's really not that unattractive, but it is the name of the hybrid citrus fruit seen here",an ugli
,,,,
4-LETTER WORDS,2,1200,"It's the theatrical technique of suggesting emotions without words, using only gesture & movement",mime
,,,,
4-LETTER WORDS,2,1600,"It's someone who sells hot tips at the racetrack, or a verb meaning ""to praise highly""",a tout
,,,,
4-LETTER WORDS,2,2000,"4-letter name for strong black Indian tea combined with milk, sugar & spices",chai
,,,,
4-SYLLABLE WORDS,2,400,Brazil declared this from Portugal in 1822,independence
,,,,
4-SYLLABLE WORDS,2,800,Fiberglass this in the attic helps regulate your home's temperature,insulation
,,,,
4-SYLLABLE WORDS,2,1200,"A recurring verb for the Daleks on ""Doctor Who""; it's something you do to household pests",exterminate
,,,,
4-SYLLABLE WORDS,2,1600,"Hydrogen, propane & renewables such as biodiesel are labeled this type of fuel in vehicles",alternative
,,,,
4-SYLLABLE WORDS,2,2000,Graph the equation y�=�x2 & you get this type of curve seen here,a parabola
,,,,
6-LETTER WORDS,2,400,"It's a state of diminished consciousness, especially under hypnosis",trance
,,,,
6-LETTER WORDS,2,800,"The simple habit of the Capuchin Sisters of Nazareth is a brown tunic tied with a cord, from which this string of beads hangs",a rosary
,,,,
6-LETTER WORDS,2,1200,It's a candy-filled party animal,a pi�ata
,,,,
6-LETTER WORDS,2,3000,"Used to indicate whether a substance is acidic or basic, this compound is obtained from lichens",litmus
,,,,
6-LETTER WORDS,2,2000,"A common character flaw in ancient Greek tragedy was this, meaning excessive pride",hubris
,,,,
A BOROUGH BURIAL,2,400,"Cornelius Vanderbilt, long-time owner of the ferry service named for this borough, rests in an elegant mausoleum there",Staten Island
,,,,
A BOROUGH BURIAL,2,800,"Quarantined on an island nearby from 1915 on, she was buried in the Bronx when she died in 1938",Typhoid Mary
,,,,
A BOROUGH BURIAL,2,1200,"This 1980s NYC mayor said, ""The idea of leaving Manhattan permanently irritates me"", so he rests near 153rd & Amsterdam",(Ed) Koch
,,,,
A BOROUGH BURIAL,2,1600,In 2002 mobster John Gotti was given an elaborate send-off in this borough whose Howard Beach neighborhood he called home,Queens
,,,,
A BOROUGH BURIAL,2,2000,"Unlike the Dodgers, this man for whom their ballpark was named is a permanent resident of Brooklyn",Ebbets
,,,,
A SHRUBBERY!,1,200,Honk if you know the name of this avian berry that grows on shrubs all over Europe and the United States,a gooseberry
,,,,
A SHRUBBERY!,1,400,"Shrubs are woody plants with non-dominant stems, & a super-dense one can be called this, the surname of 2 presidents",a bush
,,,,
A SHRUBBERY!,1,600,Both Doc Holliday and a certain animated hound are fans of this fruit-bearing shrub,a huckleberry
,,,,
A SHRUBBERY!,1,800,The leaves of a small shrub produce this 5-letter dye that is widely used in temporary tattoos,henna
,,,,
A SHRUBBERY!,1,1000,"Fats Waller put this sweet shrubbery word in front of ""Rose"" in one of his most famous songs",honeysuckle
,,,,
ACM Awards,2,400,"In 2017 Keith Urban & this ""American Idol"" rocked the house with ""The Fighter""",Carrie Underwood
,,,,
ACM Awards,2,800,"The son of country singer Rhett Akins, he was the 2018 winner for Male Artist of the Year",Thomas Rhett
,,,,
ACM Awards,2,1200,"In 2017 Luke Bryan, Dierks Bentley & Joe Walsh performed ""Johnny B. Goode"" in tribute to this rock pioneer who had recently passed away",Chuck Berry
,,,,
ACM Awards,2,1600,"A nickname for the state of Virginia, this band won Group of the Year in 2019 & Vocal Group of the Year in 2018",Old Dominion
,,,,
ACM Awards,2,2000,"New Female Vocalist of the Year for 2015, she literally sparkled at the awards in 2017 when she sang ""Yeah Boy""",Kelsea Ballerini
,,,,
ADVICE FROM THE SIDELINES,1,200,This phrase for someone who gives unsolicited advice sounds like a person who is instructing his chauffeur,a backseat driver
,,,,
ADVICE FROM THE SIDELINES,1,400,"""Armchair"" this military official is a publication using hindsight to replay famous battles",General
,,,,
ADVICE FROM THE SIDELINES,1,600,"Not Monday but this morning ""quarterback"" challenges the decision making in college football games",Sunday morning quarterback
,,,,
ADVICE FROM THE SIDELINES,1,800,"This 6-letter word means to comment as a spectator, such as when watching a card game",kibitz
,,,,
AFTER MATH,1,200,An afternoon entertainment at the theater,a matin�e
,,,,
AFTER MATH,1,400,A community's female leader,a matron (matriarch)
,,,,
AFTER MATH,1,600,Ripeness,maturity
,,,,
AFTER MATH,1,800,To enroll in a university,matriculate
,,,,
AFTER MATH,1,1000,A rectangular numeric array in math,a matrix
,,,,
ALL MY TROUBLES,1,200,"I tried soft, I tried rigid gas permeable, my eyes still don't feel right with these",contact lenses
,,,,
ALL MY TROUBLES,1,400,Maybe taking on this burrowing animal & mascot of the University of Wisconsin as a house pet was not my finest idea,the badger
,,,,
ALL MY TROUBLES,1,600,"We overpaid & never got the vacation weeks we wanted--where's that Kiplinger's article ""How to Get Rid of"" this",a time share
,,,,
ALL MY TROUBLES,1,800,"I'm playing this ""Othello"" villain in an hour?! I know Roderigo helps him & he frames Cassio, but I don't know his lines",Iago
,,,,
ALL MY TROUBLES,1,1000,"Ah, man, I got to replace this device that mixes air with fuel to generate combustion in my truck's engine",the carburetor
,,,,
ALL THINGS BELGIAN,2,400,"Bred near Malines, the Belgian Malinois is one of these that often works with the military",a dog
,,,,
ALL THINGS BELGIAN,2,800,"Though the name we use contradicts the claim, the Belgians say they invented these, & enjoy smothering them in mayo, not ketchup",French fries
,,,,
ALL THINGS BELGIAN,2,1200,"A major European port, this Belgian city is also the center of the world's diamond industry",Antwerp
,,,,
ALL THINGS BELGIAN,2,1600,This Belgian surrealist often featured bowler hats in his paintings,(Ren�) Magritte
,,,,
ALL THINGS BELGIAN,2,2000,"Sint-Niklaas, Belgium, has a museum of this Flemish cartographer who, around 1569, devised a way to depict a 3D globe on a 2D map",Mercator
,,,,
ALTRUISTIC ATHLETES,1,200,Mia Hamm scored 158 international goals in this sport & her charitable foundation is still scoring,soccer
,,,,
ALTRUISTIC ATHLETES,1,400,"(Jimmy of the Clue Crew presents from the Smithsonian Nat'l Museum of African American History & Culture.) The Game Changers Hall bears the name of this Chicago legend who donated $5 million to the museum; as of 2017, he was still ranked by ""Forbes"" as the highest-earning athlete of all time",(Michael) Jordan
,,,,
ALTRUISTIC ATHLETES,1,600,This No. 24 driver is taking the fight to childhood cancer not only in the U.S. but in Rwanda,Jeff Gordon
,,,,
ALTRUISTIC ATHLETES,1,800,All the kids in the first graduating class of this retired tennis great's charter school in Vegas got into college,Andre Agassi
,,,,
ALTRUISTIC ATHLETES,1,1000,Muhammad Ali opened a youth center that teaches confidence & respect in this hometown of his,Louisville
,,,,
AMERICAN AUTHORS,3,0,"Reluctant to write what became her most famous novel, she said, ""Never liked girls or knew many, except my sisters""",(Louisa May) Alcott
,,,,
AMERICAN HISTORY,2,400,"On Oct. 22, 1962 JFK announced a naval blockade of this country due to Soviet missiles being discovered there",Cuba
,,,,
AMERICAN HISTORY,2,800,"After a historic 1983 mission, this astronaut turned down flowers as her male counterparts weren't given any",Sally Ride
,,,,
AMERICAN HISTORY,2,1200,"Victoria Woodhull was the first woman to run for pres. in 1872, but couldn't have taken office because she wasn't yet this age",35
,,,,
AMERICAN HISTORY,2,3000,"This president was said to regret his decision ""not to hang John C. Calhoun"" as a traitor",Andrew Jackson
,,,,
AMERICAN HISTORY,2,2000,"This 1620 document mentions ""our dread sovereign Lord King James"", ""a voyage to plant the first colony"" & ""Cape Cod""",the Mayflower Compact
,,,,
AMERICAN NAMES,2,400,In 1904 she was the head of the U.S. delegation to the International Council of women,Susan B. Anthony
,,,,
AMERICAN NAMES,2,800,"At the age of 6 this Tuscumbia, Alabama girl was examined by Alexander Graham Bell",Helen Keller
,,,,
AMERICAN NAMES,2,1200,"As he traveled in the early 19th c., he planted medicinal herbs like catnip & wintergreen as well as the seeds that made him famous",Johnny Appleseed
,,,,
AMERICAN NAMES,2,1600,This first casualty of the Boston Massacre lay in state at Faneuil Hall,Crispus Attucks
,,,,
AMERICAN NAMES,2,2000,This artist who made mobiles went into the family business: his father & grandfather were both artists,(Alexander) Calder
,,,,
AMERICANA,2,400,"Naval Academy graduate Edward ""Butch"" O'Hare, class of 1937, had one of these named for him in 1949",an airport
,,,,
AMERICANA,2,800,James Montgomery Flagg's iconic poster of Uncle Sam with this 3-word phrase was first used to recruit troops during WWI,I Want You
,,,,
AMERICANA,2,1200,San Francisco's Boudin Bakery has been making this bread from the same mother dough since 1849,sourdough
,,,,
AMERICANA,2,1000,2020 marks the 75th anniversary of this iconic toy that sprung forth from mechanical engineer Richard James & his wife Betty,the Slinky
,,,,
AMERICANA,2,2000,"This Ohio city was named for a fort built by ""Mad"" Anthony Wayne, who boldly dared the English & Native Americans to take it",Fort Defiance
,,,,
AMERICANS IN PARIS,2,400,"In 1952 she & 2 French friends started a cooking school in Paris, L'ecole des trois gourmandes",Julia Child
,,,,
AMERICANS IN PARIS,2,800,"His trips to Paris in the 1920s inspired his orchestral piece ""An American In Paris""",(George) Gershwin
,,,,
AMERICANS IN PARIS,2,1200,She ran a salon out of her home for some of the leading artists and writers of the day,Gertrude Stein
,,,,
AMERICANS IN PARIS,2,4000,In 1803 this American launched an experimental steamboat on a river in Paris,Robert Fulton
,,,,
AMERICANS IN PARIS,2,2000,In 1932 this author began a passionate love affair in Paris with Anais Nin that would last for years,Henry Miller
,,,,
ANAGRAMS,1,200,A European legislature: APT IN REALM,Parliament
,,,,
ANAGRAMS,1,400,An inferred kind of evidence: I CURST CLAIMANT,circumstantial
,,,,
ANAGRAMS,1,600,A type of horse: TAN GUMS,a mustang
,,,,
ANAGRAMS,1,800,"A holiday item: SEARCH, SET, TRIM",Christmas tree
,,,,
ANAGRAMS,1,1000,A stone home for mummy: PUSH AS CARGO,a sarcophagus
,,,,
ANTONYMS,1,200,This pair of antonyms is used when using a coin to make a decision,heads or tails
,,,,
ANTONYMS,1,400,"From the Latin for ""draw together"", it's the opposite of expand",contract
,,,,
ANTONYMS,1,600,"Like a certain ""walk"" in baseball, something not accidental is this",intentional
,,,,
ANTONYMS,1,800,This pair of antonyms refers to a style of angling that helps conserve the local fauna,catch & release
,,,,
ANTONYMS,1,1000,"Heterodox, meaning having unusual or minority views, has this antonym that ends with the same 4 letters",orthodox
,,,,
APPROACH THE BENCH,1,200,"Claiming this star player was out of shape for a 2008 exhibition vs. Germany, England's soccer coach benched it like him",Beckham
,,,,
APPROACH THE BENCH,1,400,Soviet coach Viktor Tikhonov's benching of goalie Vladislav Tretiak helped Team USA get miraculous at the 1980 Olympics in this village,Lake Placid
,,,,
APPROACH THE BENCH,1,600,"Backups Lenn Sakata, Ron Washington & Juan Bell had time to bird watch as Cal Ripken Jr. played nonstop for this team",the (Baltimore) Orioles
,,,,
APPROACH THE BENCH,1,800,"Eli Manning started 232 of 233 regular season games at QB for this team but in 2019, couldn't keep up with the (Daniel) Jones",the Giants
,,,,
APPROACH THE BENCH,1,1000,"N.Y. Yankee Wally Pipp had a headache in 1925, so this ""lucky"" man played at 1st; he didn't leave the lineup until 1939",Lou Gehrig
,,,,
ARCHITECTURE,3,0,"Begun in the 1170s on former marshland, it has been called a ""perfect imperfection"" & a ""legendary mistake""",the Leaning Tower of Pisa
,,,,
AREN'T YOU...,1,200,"This Harry Potter actor once signed a photo of Elijah Wood, ""I am not Elijah Wood""",(Daniel) Radcliffe
,,,,
AREN'T YOU...,1,400,"Actress Isla Fisher once put this ""Arrival"" actress' face on her holiday card & said no one noticed",(Amy) Adams
,,,,
AREN'T YOU...,1,600,Actor Jeffrey Dean Morgan said the New York Post mistook him for this Oscar-winning Spanish actor,(Javier) Bardem
,,,,
AREN'T YOU...,1,800,"Jesse Eisenberg once said he was getting mistaken for this ""Arrested Development"" actor about once a day",Michael Cera
,,,,
AREN'T YOU...,1,1000,"Though this sitcom actress sings in the duo She & Him, she's not crazy about being taken for Katy Perry",Zooey Deschanel
,,,,
AROUND THE USA,1,200,"14,060-foot Mount Bierstadt is a good place to start climbing the ""Fourteeners"" of this western range",the Rockies
,,,,
AROUND THE USA,1,400,The arch seen here is not in Paris but in this city,Las Vegas
,,,,
AROUND THE USA,1,600,The Mall of America in this state has no central heating--skylights & store fixtures help do the job,Minnesota
,,,,
AROUND THE USA,1,800,"To prevent road ice, Polk County, Wisconsin fittingly makes use of brine left over from making this",cheese
,,,,
AROUND THE USA,1,1000,"Montgomery, Alabama, is home to the Dexter Avenue King Memorial Church of this Protestant denomination",Baptist
,,,,
ASTRONOMY,3,0,"Discovered in 1967, the 1st of these stars was dubbed LGM-1--the perceived signal was jokingly thought to be from little green men",pulsars
,,,,
BEASTLY BOOKS,1,200,"""Babar the King"" by Jean de Brunhoff",an elephant
,,,,
BEASTLY BOOKS,1,400,"""Because of Winn-Dixie"" by Kate DiCamillo",a dog
,,,,
BEASTLY BOOKS,1,600,"""Flowers for Algernon"" by Daniel Keyes",a mouse
,,,,
BEASTLY BOOKS,1,800,"""Misty of Chincoteague"" by Marguerite Henry",a horse
,,,,
BEASTLY BOOKS,1,1000,"""The Yearling"" by Marjorie Kinnan Rawlings",a deer
,,,,
BEASTLY REVIEWS,1,200,"The tropics are home to the common type of this lizard that feeds on fruit, leaves and flowers; 4 out of 5 stars",an iguana
,,,,
BEASTLY REVIEWS,1,400,"Including the weevil & the ladybug, there are 400,000 species of this insect type, more than any other animal on earth; 5 out of 5 stars",beetles
,,,,
BEASTLY REVIEWS,1,600,"This long-tailed, long-legged agile primate of South America has an arachnid in its name; 2 out of 5 stars",a spider monkey
,,,,
BEASTLY REVIEWS,1,800,"Camels come in 2 main types, Bactrian & this variety, with both able to cross deserts with little or no water; 3 out of 5 stars",a dromedary
,,,,
BEASTLY REVIEWS,1,1000,"Sometimes weighing 1 ton, the tiger type is only the second-biggest predatory species of this, so 4 out of 5 stars",a shark
,,,,
BESTSELLERS,1,200,"Recent speeches by this young Swedish climate activist are collected in ""No One Is Too Small to Make a Difference""",Greta Thunberg
,,,,
BESTSELLERS,1,400,"""The Lost World"" was Michael Crichton's sequel to this bestseller",Jurassic Park
,,,,
BESTSELLERS,1,600,"He gave a behind-the-scenes look at his career in ""The Mamba Mentality: How I Play""",Kobe Bryant
,,,,
BESTSELLERS,1,800,"1986's ""Red Storm Rising"" was his second novel & his second No. 1 bestseller",Tom Clancy
,,,,
BESTSELLERS,1,1000,"In the '90s this newsman had a nonfiction bestseller with ""The Greatest Generation"" about the men & women of WWII",Tom Brokaw
,,,,
BIG BUSINESS NEWS OF THE 2010s,1,200,In June 2017 this online retailer agreed to buy Whole Foods for $13.7 billion,Amazon
,,,,
BIG BUSINESS NEWS OF THE 2010s,1,400,"For the first time ever, in 2011 the credit rating for the U.S. was downgraded from AAA to AA+ by this financial info. co.",Standard and Poor's
,,,,
BIG BUSINESS NEWS OF THE 2010s,1,600,"In the longest strike there in half a century, 48,000 UAW workers walked off in 2019 at this company",General Motors
,,,,
BIG BUSINESS NEWS OF THE 2010s,1,800,In 2012 this iconic 244-year-old reference company announced that its 2010 32-volume edition would be its last in print,Encyclopaedia Britannica
,,,,
BIG BUSINESS NEWS OF THE 2010s,1,1000,CEO John Stumpf said bye in 2016 after a fake accounts scam was uncovered at this bank,Wells Fargo
,,,,
"BO, JACK",2,400,"Alfred Hitchcock's ""The Lodger: A Story of the London Fog"" was inspired by this notorious Whitechapel prowler",Jack the Ripper
,,,,
"BO, JACK",2,800,"The first chapter of his 1910 work ""Burning Daylight"" mentions roulette, the Klondike & a sack of gold dust",Jack London
,,,,
"BO, JACK",2,1200,"From 1982 to 1985 he rushed for over 4,000 yards in college before signing a baseball contract with Kansas City",Bo Jackson
,,,,
BODIES OF WATER,2,400,The Straits of Florida connect this body of water to the Atlantic Ocean,the Gulf of Mexico
,,,,
BODIES OF WATER,2,5000,"This river flows into Lake Constance, which borders Switzerland, Germany & Austria",the Rhine
,,,,
BODIES OF WATER,2,1200,The Cayman Islands are in this sea,Caribbean Sea
,,,,
BODIES OF WATER,2,1600,"Named for an Englishman, it connects the Atlantic & the Pacific between Cape Horn & the South Shetland Islands",Drake's Passage
,,,,
BODIES OF WATER,2,2000,In French it's known as Le Golfe de Gascogne,the Bay of Biscay
,,,,
BOOKS & AUTHORS,1,200,Here's an image from the cover of this royal fable,The Little Prince
,,,,
BOOKS & AUTHORS,1,400,"Based on true events, recent stories of the holocaust include ""The Librarian of"" & ""The Tattooist of"" this notorious place",Auschwitz
,,,,
BOOKS & AUTHORS,1,600,"Kya Clark, known as the ""Marsh Girl"", is suspected of murder in Delia Owens' No. 1 bestseller ""Where"" these ""Sing""",the Crawdads
,,,,
BOOKS & AUTHORS,1,800,Truman Capote said he introduced the nonfiction novel with this bestseller about the brutal murder of a Kansas farm family,In Cold Blood
,,,,
BOOKS & AUTHORS,1,1000,"In a novel by Jonathan Franzen, Alfred Lambert & his son Chip face their failures to make these, the title of the book",corrections
,,,,
BRITISH GOVERNMENT,1,200,"Acts of Parliament & other conventions & court decisions make up what is called Britain's ""unwritten"" this document",the constitution
,,,,
BRITISH GOVERNMENT,1,400,A vote of this in life means someone believes in you; a vote of no this in Parliament means it might be time for a new government,confidence
,,,,
BRITISH GOVERNMENT,1,600,"Britain's standard V.A.T., short for this, is 20% for most goods & services",value added tax
,,,,
BRITISH GOVERNMENT,1,800,"In your house, it's the 2-word room for your computer & paperwork; in Britain, it's a department of domestic affairs",the home office
,,,,
BRITISH GOVERNMENT,1,1000,In 2006 in the British House of Lords the job of Lord this was largely replaced by Lord Speaker,Lord High Chancellor
,,,,
BUSINESS & INDUSTRY,2,200,"Founded in 1933, this bookstore chain was named for the Massachusetts pond that inspired Thoreau",Walden
,,,,
BUSINESS & INDUSTRY,2,400,This accounting firm has handled the Academy Award balloting since 1935,Price Waterhouse
,,,,
BUSINESS & INDUSTRY,2,600,"Organized in 1888, this Pittsburgh-based firm is the world's largest producer of aluminum products",Alcoa
,,,,
BUSINESS & INDUSTRY,2,800,This insurance company has been using umbrellas in its ads since 1870,Travelers
,,,,
BUSINESS & INDUSTRY,2,1000,"On September 4, 1984 this Swiss firm announced its acquisition of the Carnation company for $3 billion",Nestl�
,,,,
CELEBS COMING & GOING,2,400,"In 2019 he left ""The Voice"" after 16 seasons",Adam Levine
,,,,
CELEBS COMING & GOING,2,800,"""I have things to prove to myself,"" explained Tom Brady about moving to this team after 20 seasons with the Patriots",Tampa Bay
,,,,
CELEBS COMING & GOING,2,1200,"Tina Fey returned in a 2020 ""One-Time Special"" of this sitcom; Kenneth the page is now the boss of the network",30 Rock
,,,,
CELEBS COMING & GOING,2,1600,A young Vince Gill turned down a chance to join Dire Straits; a less young Vince Gill replaced Glenn Frey on this band's tour,the Eagles
,,,,
CELEBS COMING & GOING,2,2000,Emmy Rossum is no longer the oldest Gallagher daughter on this TV show,Shameless
,,,,
CLUES FROM A 1965 JEOPARDY! HOME GAME,1,200,"ASTRONOMY: ""Only planet not named for Greek or Roman figure""",Earth
,,,,
CLUES FROM A 1965 JEOPARDY! HOME GAME,1,400,"COPS & ROBBERS: ""Slang for police because they stick like lint""",fuzz
,,,,
CLUES FROM A 1965 JEOPARDY! HOME GAME,1,600,"TIME: ""Traditional bath & date night""",Saturday
,,,,
CLUES FROM A 1965 JEOPARDY! HOME GAME,1,800,"AWARDS: ""Movie for which Brando won his Oscar""",On the Waterfront
,,,,
CLUES FROM A 1965 JEOPARDY! HOME GAME,1,1000,"NUMBERS: ""Unlucky way to light cigarettes""",third on a match (three on a match)
,,,,
COIF SUPPRESSANT,1,200,This foamy stuff that you put in your hair to hold it in place is a homophone for a large mammal,mousse
,,,,
COIF SUPPRESSANT,1,400,"When it comes to hair wands, this 4-letter word can follow straightening or curling",an iron
,,,,
COIF SUPPRESSANT,1,600,"From the Hindi for ""tie"", it's a handkerchief used to tie your hair in place",a bandana
,,,,
COIF SUPPRESSANT,1,800,"At the Oscars in 2019, Jason Momoa matched his velvet Fendi tux to the pink one of these on his wrist that ties his hair back",a scrunchie
,,,,
COIF SUPPRESSANT,1,1000,"This scented hair oil or ointment gets its name from the Latin for ""apple""",pomade
,,,,
COLLEGES & UNIVERSITIES,1,200,"St. John's College in Maryland claims to be the third-oldest college in the U.S., predating this Connecticut school by 5 years",Yale
,,,,
COLLEGES & UNIVERSITIES,1,400,"According to its website, this UC school is the most applied-to university in the nation; go Bruins!",UCLA
,,,,
COLLEGES & UNIVERSITIES,1,1000,Students on this school's campus may run into Ben Franklin relaxing on a bench reading a newspaper,the University of Pennsylvania
,,,,
COLLEGES & UNIVERSITIES,1,800,More than 1/3 of the courses at the Fort Collins main campus of this state school are sustainability related,Colorado State
,,,,
COLLEGES & UNIVERSITIES,1,1000,"This school in Annandale-on-Hudson in New York was named for a wealthy Episcopalian family, not for Shakespeare",Bard
,,,,
COUNTRY BOYS,1,100,"In 1998 he re-issued his first 6 albums as part of a specially-priced ""Limited Series"" box set",Garth Brooks
,,,,
COUNTRY BOYS,1,200,"He starred with wife Lisa Hartman in the TV movie ""Still Holding On: The Legend of Cadillac Jack""",Clint Black
,,,,
COUNTRY BOYS,1,300,"Though he boasts of being an ""Okie from Muskogee"", he's really from Bakersfield, California",Merle Haggard
,,,,
COUNTRY BOYS,1,400,"Sadly, this singer who had a hit with ""Drivin' My Life Away"" passed away in 1998",Eddie Rabbitt
,,,,
COUNTRY BOYS,1,500,"Young heartthrob seen here whose hits include ""Rebecca Lynn"" & ""Love Is The Right Place""",Bryan White
,,,,
COUNTRY CLUBS?,2,400,In 1956 the International Criminal Police Commission got this new & snazzier name,INTERPOL
,,,,
COUNTRY CLUBS?,2,800,"The WTO, this club for commerce, has grown to more than 160 members",the World Trade Organization
,,,,
COUNTRY CLUBS?,2,1200,"The FAO, the Food & this Organization, operates in more than 130 countries",Agriculture
,,,,
COUNTRY CLUBS?,2,1600,"AOSIS, the Alliance of Small Island States, is concerned about a rise in this--1 meter would doom some of its members",sea-levels
,,,,
COUNTRY CLUBS?,2,2000,"This 11-letter word is the ""D"" in IDA, a 173-member association that grants loans to foster growth in poor countries",development
,,,,
CROSS EXAMINATION,1,400,A t-shaped cross also called St. Anthony's cross bears the name of this Greek letter,tau
,,,,
CROSS EXAMINATION,1,1500,"Also known as St. Andrew's cross, the crux decussata can represent the Roman numeral of this number",10
,,,,
CROSS EXAMINATION,1,800,A cross with a ring superimposed is also called this alliterative cross,a Celtic cross
,,,,
CROSS EXAMINATION,1,1000,"Egyptians used the crux ansata, a cross with a loop on top, better known by this 4-letter name",an ankh
,,,,
